date,t2m_C
1979-10-01,10.810069943374629
1979-11-01,11.916958304249022
1979-12-01,10.754317728006015
1980-01-01,10.865824368695314
1980-02-01,11.070920587963997
1980-03-01,9.534068016395679
1980-04-01,8.935852201229181
1980-05-01,6.821480667011372
1980-06-01,6.132661087184545
1980-07-01,5.672825747221509
1980-08-01,6.201605698094397
1980-09-01,7.45128809810177
1980-10-01,10.63144250687077
1980-11-01,11.400672611337882
1980-12-01,10.773951159143735
1981-01-01,10.487891034856887
1981-02-01,9.497503766362684
1981-03-01,9.034869531185905
1981-04-01,7.662458921859525
1981-05-01,6.936290402410464
1981-06-01,3.9694938736189442
1981-07-01,3.8779481348629474
1981-08-01,5.699350116584412
1981-09-01,6.146282120817375
1981-10-01,9.933962895039542
1981-11-01,11.614319682357632
1981-12-01,12.016714150299094
1982-01-01,9.479996109492276
1982-02-01,10.000049878798905
1982-03-01,9.26118850108935
1982-04-01,7.716761314249425
1982-05-01,5.399943700283643
1982-06-01,4.184347014216939
1982-07-01,5.064166286272268
1982-08-01,7.016510552534953
1982-09-01,8.176903730345202
1982-10-01,10.516425235238046
1982-11-01,11.437789887727092
1982-12-01,11.11131782686607
1983-01-01,12.185910281892575
1983-02-01,10.976066055982983
1983-03-01,12.811291354638229
1983-04-01,11.492191946292223
1983-05-01,7.866622211540573
1983-06-01,5.227743530717021
1983-07-01,5.829889911460896
1983-08-01,7.3765351836475475
1983-09-01,6.796243037722377
1983-10-01,10.18409001350932
1983-11-01,10.783675157792743
1983-12-01,10.088397968904587
1984-01-01,8.650333758208376
1984-02-01,8.906710114993416
1984-03-01,9.145481243174459
1984-04-01,8.089675700523344
1984-05-01,7.539140337869867
1984-06-01,5.244782502506496
1984-07-01,4.769703311447415
1984-08-01,4.480591631454047
1984-09-01,7.180014760911945
1984-10-01,10.31757797449609
1984-11-01,9.605436770783228
1984-12-01,9.678563151323317
1985-01-01,9.12213114300988
1985-02-01,9.491230398861717
1985-03-01,9.25761945040307
1985-04-01,7.896051635107426
