valid_time,number,expver,e,e_mm
1947-10-01 06:00:00,0,0001,-0.0011185017916992954,34.67355554267815
1947-11-01 06:00:00,0,0001,-0.0015881972286627493,47.64591685988248
1947-12-01 06:00:00,0,0001,-0.002694159877663125,83.51895620755688
1948-01-01 06:00:00,0,0001,-0.003694260446848837,114.52207385231394
1948-02-01 06:00:00,0,0001,-0.0037642949641411736,109.16455396009403
1948-03-01 06:00:00,0,0001,-0.003298943533798142,102.2672495477424
1948-04-01 06:00:00,0,0001,-0.0022804757290352984,68.41427187105894
1948-05-01 06:00:00,0,0001,-0.0011060538404128169,34.28766905279732
1948-06-01 06:00:00,0,0001,-0.0006323953429289393,18.97186028786818
1948-07-01 06:00:00,0,0001,-0.0005412007475424581,16.777223173816203
1948-08-01 06:00:00,0,0001,-0.000654095347249053,20.276955764720643
1948-09-01 06:00:00,0,0001,-0.0008456251964946158,25.368755894838475
1948-10-01 06:00:00,0,0001,-0.001034239165124987,32.061414118874595
1948-11-01 06:00:00,0,0001,-0.001565344141142146,46.96032423426438
1948-12-01 06:00:00,0,0001,-0.0022585218925249726,70.01417866827416
1949-01-01 06:00:00,0,0001,-0.003609863659358457,111.90577344011217
1949-02-01 06:00:00,0,0001,-0.00362663640091657,101.54581922566396
1949-03-01 06:00:00,0,0001,-0.003467969302828896,107.50704838769578
1949-04-01 06:00:00,0,0001,-0.0023698476256910107,71.09542877073032
1949-05-01 06:00:00,0,0001,-0.0011710547572560356,36.302697474937105
1949-06-01 06:00:00,0,0001,-0.0007857428280716832,23.5722848421505
1949-07-01 06:00:00,0,0001,-0.0007030437961264057,21.794357679918576
1949-08-01 06:00:00,0,0001,-0.001093847398551585,33.909269355099134
1949-09-01 06:00:00,0,0001,-0.0013876553627266953,41.62966088180086
1949-10-01 06:00:00,0,0001,-0.0013178920619270167,40.854653919737515
1949-11-01 06:00:00,0,0001,-0.0028537221374402913,85.61166412320874
1949-12-01 06:00:00,0,0001,-0.003514863233225127,108.96076022997894
1950-01-01 06:00:00,0,0001,-0.0038573350668179695,119.57738707135705
1950-02-01 06:00:00,0,0001,-0.0035743471543761484,100.08172032253215
1950-03-01 06:00:00,0,0001,-0.0031364189825520005,97.22898845911202
1950-04-01 06:00:00,0,0001,-0.002596998171354422,77.90994514063267
1950-05-01 06:00:00,0,0001,-0.0018885793645845124,58.54596030211989
1950-06-01 06:00:00,0,0001,-0.0010672390138159592,32.01717041447878
1950-07-01 06:00:00,0,0001,-0.000833178994344971,25.8285488246941
