valid_time,number,expver,tp,tp_mm
1964-09-01,0,0001,0.00037252399417990283,11.175719825397085
1964-10-01,0,0001,8.340731498697885e-05,2.5856267645963444
1964-11-01,0,0001,0.0010891507893543272,32.67452368062981
1964-12-01,0,0001,0.0032656557509250297,101.23532827867592
1965-01-01,0,0001,0.004329072878346845,134.20125922875218
1965-02-01,0,0001,0.003824201006716092,107.07762818805057
1965-03-01,0,0001,0.0029155085531019503,90.38076514616046
1965-04-01,0,0001,0.0005368051028653051,16.104153085959155
1965-05-01,0,0001,1.135148749238162e-05,0.3518961122638302
1965-06-01,0,0001,4.141425647300643e-06,0.12424276941901927
1965-07-01,0,0001,2.9704986879226402e-05,0.9208545932560185
1965-08-01,0,0001,0.0001532425770411068,4.750519888274311
1965-09-01,0,0001,0.001241616928409036,37.24850785227108
1965-10-01,0,0001,0.00017422232537947561,5.4008920867637435
1965-11-01,0,0001,0.0003525992151957177,10.57797645587153
1965-12-01,0,0001,0.0028512390132821026,88.38840941174519
1966-01-01,0,0001,0.003527437968822846,109.35057703350823
1966-02-01,0,0001,0.003010630099564759,84.29764278781325
1966-03-01,0,0001,0.001491183261162651,46.22668109604218
1966-04-01,0,0001,0.00023220958463950823,6.966287539185247
1966-05-01,0,0001,0.00041502887188994085,12.865895028588167
1966-06-01,0,0001,9.681632101128944e-06,0.2904489630338683
1966-07-01,0,0001,2.8176254500173245e-06,0.08734638895053706
1966-08-01,0,0001,5.126053620315705e-05,1.5890766222978687
1966-09-01,0,0001,0.00012815277722985028,3.8445833168955086
1966-10-01,0,0001,0.0012810243207735555,39.71175394398022
1966-11-01,0,0001,0.0013909406869836451,41.72822060950936
1966-12-01,0,0001,0.0044777217416253215,138.80937399038496
1967-01-01,0,0001,0.0034000254396200085,105.40078862822027
1967-02-01,0,0001,0.007014021621894128,196.39260541303557
1967-03-01,0,0001,0.00451944722204584,140.10286388342107
1967-04-01,0,0001,0.0013431521665740768,40.2945649972223
1967-05-01,0,0001,5.8467709548799105e-05,1.8124989960127724
1967-06-01,0,0001,0.000940287719265352,28.20863157796056
1967-07-01,0,0001,0.0002458895854999492,7.622577150498426
1967-08-01,0,0001,0.00034782615677453153,10.782610860010477
1967-09-01,0,0001,0.000985853340773359,29.57560022320077
1967-10-01,0,0001,0.0007021469303897597,21.76655484208255
1967-11-01,0,0001,0.0005417700657809555,16.253101973428663
1967-12-01,0,0001,0.005926352667913047,183.71693270530446
1968-01-01,0,0001,0.005203327482612644,161.30315196099195
1968-02-01,0,0001,0.008574463150364248,248.65943136056322
1968-03-01,0,0001,0.0031180983332641157,96.66104833118759
1968-04-01,0,0001,0.001353368641187868,40.60105923563604
1968-05-01,0,0001,0.0007311925493306772,22.666969029250993
1968-06-01,0,0001,6.170999004775824e-05,1.8512997014327472
1968-07-01,0,0001,4.561924790797609e-05,1.4141966851472587
1968-08-01,0,0001,4.987202743007248e-05,1.5460328503322471
1968-09-01,0,0001,1.528238663779477e-05,0.45847159913384306
1968-10-01,0,0001,0.0006859728234994092,21.265157528481684
1968-11-01,0,0001,0.0031161344067178014,93.48403220153403
1968-12-01,0,0001,0.002832262411319448,87.80013475090288
1969-01-01,0,0001,0.005893215537043317,182.68968164834286
1969-02-01,0,0001,0.005650979463322138,158.22742497301985
1969-03-01,0,0001,0.0023034745720182377,71.40771173256537
1969-04-01,0,0001,0.0006496711856903705,19.490135570711114
1969-05-01,0,0001,3.8853130337270994e-05,1.2044470404554006
1969-06-01,0,0001,2.4558536041070534e-05,0.7367560812321161
1969-07-01,0,0001,3.70894343558854e-06,0.11497724650324474
1969-08-01,0,0001,1.8571985681841756e-05,0.5757315561370944
1969-09-01,0,0001,4.414725101193427e-05,1.3244175303580281
1969-10-01,0,0001,0.0005881309862915449,18.232060575037895
1969-11-01,0,0001,0.0019682513622009535,59.047540866028605
1969-12-01,0,0001,0.0044101158583429115,136.71359160863025
1970-01-01,0,0001,0.006430177387284424,199.33549900581713
1970-02-01,0,0001,0.00511667602845142,143.26692879663975
1970-03-01,0,0001,0.006938137835126017,215.08227288890654
1970-04-01,0,0001,0.0006193778109896832,18.5813343296905
1970-05-01,0,0001,0.00018766776529610988,5.817700724179406
1970-06-01,0,0001,2.568729457315403e-06,0.0770618837194621
1970-07-01,0,0001,0.0001563830222399419,4.847873689438199
1970-08-01,0,0001,9.621355513848083e-05,2.982620209292906
1970-09-01,0,0001,0.0008981017728862532,26.943053186587594
1970-10-01,0,0001,0.0004212524238595498,13.058825139646043
1970-11-01,0,0001,0.0007488552112064667,22.465656336194
1970-12-01,0,0001,0.005200251980354427,161.20781139098725
1971-01-01,0,0001,0.004323318658809863,134.02287842310577
1971-02-01,0,0001,0.006632915854543402,185.72164392721524
1971-03-01,0,0001,0.002064330043975601,63.99423136324363
1971-04-01,0,0001,0.0005952843297479891,17.858529892439673
1971-05-01,0,0001,1.86352826372984e-05,0.5776937617562504
